bench,ORDER,n,t
create,1,7743,0.000231052
create,1,7759,0.000223142
create,1,7775,0.000231052
create,1,7791,0.000231052
create,1,7807,0.00024529
create,1,7823,0.00022947
create,1,7839,0.00023738
create,1,7855,0.00023738
create,1,7871,0.00024529
create,1,7887,0.00023738
create,1,7903,0.00024529
create,1,7919,0.00024529
create,1,7935,0.000256364
create,1,7951,0.000227888
create,1,7967,0.000235798
create,1,7983,0.000235798
create,1,7999,0.000243708
create,1,8015,0.000235798
create,1,8031,0.000243708
create,1,8047,0.000243708
create,1,8063,0.000256364
create,1,8079,0.000240544
create,1,8095,0.000248454
create,1,8111,0.000248454
create,1,8127,0.000256364
create,1,8143,0.000248454
create,1,8159,0.000256364
create,1,8175,0.000259528
create,1,8191,0.000267438
create,1,8192,0.000275348
